"EJs","Cluster","Eixo","Media"
"Agrosertão","1","GO",2
"Agrosertão","1","MN",1
"Agrosertão","1","TC",1.66666666666667
"Agrosertão","1","VM",3
"Agrosertão","2","GO",2.5
"Agrosertão","2","MN",1.5
"Agrosertão","2","TC",1.66666666666667
"Agrosertão","2","VM",1.5
"Agrosertão","3","GO",0.5
"Agrosertão","3","MN",2.5
"Agrosertão","3","TC",0.666666666666667
"Agrosertão","3","VM",2.5
"Agrosertão","4","GO",0
"Agrosertão","4","MN",2
"Agrosertão","4","TC",1.33333333333333
"Agrosertão","4","VM",1.5
"Agrosertão","5","GO",3.33333333333333
"Agrosertão","5","MN",2
"Agrosertão","5","TC",3
"Agrosertão","5","VM",1
"Easy Jr.","1","GO",1.5
"Easy Jr.","1","MN",3
"Easy Jr.","1","TC",3
"Easy Jr.","1","VM",3
"Easy Jr.","2","GO",1
"Easy Jr.","2","MN",2
"Easy Jr.","2","TC",0.333333333333333
"Easy Jr.","2","VM",3
"Easy Jr.","3","GO",1
"Easy Jr.","3","MN",3.5
"Easy Jr.","3","TC",2.66666666666667
"Easy Jr.","3","VM",1
"Easy Jr.","4","GO",2
"Easy Jr.","4","MN",2
"Easy Jr.","4","TC",0.666666666666667
"Easy Jr.","4","VM",1.5
"Easy Jr.","5","GO",2
"Easy Jr.","5","MN",2.5
"Easy Jr.","5","TC",2
"Easy Jr.","5","VM",0
"EdificarSe","1","GO",1.5
"EdificarSe","1","MN",1.5
"EdificarSe","1","TC",1.33333333333333
"EdificarSe","1","VM",1
"EdificarSe","2","GO",2.5
"EdificarSe","2","MN",2
"EdificarSe","2","TC",3
"EdificarSe","2","VM",2.5
"EdificarSe","3","GO",1.5
"EdificarSe","3","MN",2
"EdificarSe","3","TC",2
"EdificarSe","3","VM",4
"EdificarSe","4","GO",3.5
"EdificarSe","4","MN",3
"EdificarSe","4","TC",1.66666666666667
"EdificarSe","4","VM",3
"EdificarSe","5","GO",2.33333333333333
"EdificarSe","5","MN",2
"EdificarSe","5","TC",3.5
"EdificarSe","5","VM",3.5
"EJAUFS","1","GO",1.5
"EJAUFS","1","MN",3.5
"EJAUFS","1","TC",1.33333333333333
"EJAUFS","1","VM",2
"EJAUFS","2","GO",0.5
"EJAUFS","2","MN",3.5
"EJAUFS","2","TC",1.66666666666667
"EJAUFS","2","VM",1
"EJAUFS","3","GO",0.5
"EJAUFS","3","MN",2
"EJAUFS","3","TC",1.66666666666667
"EJAUFS","3","VM",1
"EJAUFS","4","GO",1.5
"EJAUFS","4","MN",0
"EJAUFS","4","TC",1.66666666666667
"EJAUFS","4","VM",2.5
"EJAUFS","5","GO",2.33333333333333
"EJAUFS","5","MN",3
"EJAUFS","5","TC",1.5
"EJAUFS","5","VM",3.5
"Empreeng","1","GO",3
"Empreeng","1","MN",1.5
"Empreeng","1","TC",2.33333333333333
"Empreeng","1","VM",1.5
"Empreeng","2","GO",4
"Empreeng","2","MN",3
"Empreeng","2","TC",1.33333333333333
"Empreeng","2","VM",0.5
"Empreeng","3","GO",4
"Empreeng","3","MN",1
"Empreeng","3","TC",2
"Empreeng","3","VM",1.5
"Empreeng","4","GO",3.5
"Empreeng","4","MN",2
"Empreeng","4","TC",3
"Empreeng","4","VM",1
"Empreeng","5","GO",1
"Empreeng","5","MN",4
"Empreeng","5","TC",2.5
"Empreeng","5","VM",2
"Excelência","1","GO",0.5
"Excelência","1","MN",0.5
"Excelência","1","TC",2.33333333333333
"Excelência","1","VM",3.5
"Excelência","2","GO",3
"Excelência","2","MN",2
"Excelência","2","TC",2
"Excelência","2","VM",1
"Excelência","3","GO",2.5
"Excelência","3","MN",2.5
"Excelência","3","TC",3.33333333333333
"Excelência","3","VM",2
"Excelência","4","GO",1
"Excelência","4","MN",3.5
"Excelência","4","TC",3.33333333333333
"Excelência","4","VM",1.5
"Excelência","5","GO",1.33333333333333
"Excelência","5","MN",2.5
"Excelência","5","TC",2.5
"Excelência","5","VM",4
"ProdUP","1","GO",2.5
"ProdUP","1","MN",0.5
"ProdUP","1","TC",0.666666666666667
"ProdUP","1","VM",4
"ProdUP","2","GO",1.5
"ProdUP","2","MN",2.5
"ProdUP","2","TC",1
"ProdUP","2","VM",3.5
"ProdUP","3","GO",3.5
"ProdUP","3","MN",4
"ProdUP","3","TC",2.66666666666667
"ProdUP","3","VM",0.5
"ProdUP","4","GO",1.5
"ProdUP","4","MN",2
"ProdUP","4","TC",2.66666666666667
"ProdUP","4","VM",3
"ProdUP","5","GO",3
"ProdUP","5","MN",4
"ProdUP","5","TC",3.5
"ProdUP","5","VM",3.5
"QuimTec","1","GO",2.5
"QuimTec","1","MN",3.5
"QuimTec","1","TC",1
"QuimTec","1","VM",3.5
"QuimTec","2","GO",2.5
"QuimTec","2","MN",0.5
"QuimTec","2","TC",1.33333333333333
"QuimTec","2","VM",0
"QuimTec","3","GO",0.5
"QuimTec","3","MN",2
"QuimTec","3","TC",1.66666666666667
"QuimTec","3","VM",2
"QuimTec","4","GO",1
"QuimTec","4","MN",4
"QuimTec","4","TC",2.66666666666667
"QuimTec","4","VM",3
"QuimTec","5","GO",0.666666666666667
"QuimTec","5","MN",2
"QuimTec","5","TC",1.5
"QuimTec","5","VM",1
"Reina","1","GO",1.5
"Reina","1","MN",2.5
"Reina","1","TC",2.33333333333333
"Reina","1","VM",2
"Reina","2","GO",1
"Reina","2","MN",2.5
"Reina","2","TC",1.66666666666667
"Reina","2","VM",1
"Reina","3","GO",2
"Reina","3","MN",2
"Reina","3","TC",2
"Reina","3","VM",3
"Reina","4","GO",1.5
"Reina","4","MN",3
"Reina","4","TC",3.33333333333333
"Reina","4","VM",2
"Reina","5","GO",2
"Reina","5","MN",1.5
"Reina","5","TC",4
"Reina","5","VM",2.5
"SERCIVIL","1","GO",3
"SERCIVIL","1","MN",2
"SERCIVIL","1","TC",1.66666666666667
"SERCIVIL","1","VM",2.5
"SERCIVIL","2","GO",1.5
"SERCIVIL","2","MN",0
"SERCIVIL","2","TC",0.666666666666667
"SERCIVIL","2","VM",2
"SERCIVIL","3","GO",3.5
"SERCIVIL","3","MN",1.5
"SERCIVIL","3","TC",1.33333333333333
"SERCIVIL","3","VM",1
"SERCIVIL","4","GO",2
"SERCIVIL","4","MN",2
"SERCIVIL","4","TC",1.66666666666667
"SERCIVIL","4","VM",0
"SERCIVIL","5","GO",2.66666666666667
"SERCIVIL","5","MN",2.5
"SERCIVIL","5","TC",0
"SERCIVIL","5","VM",2.5
"STARTEQ","1","GO",2.5
"STARTEQ","1","MN",0
"STARTEQ","1","TC",2
"STARTEQ","1","VM",2
"STARTEQ","2","GO",1
"STARTEQ","2","MN",2
"STARTEQ","2","TC",2.66666666666667
"STARTEQ","2","VM",1
"STARTEQ","3","GO",1.5
"STARTEQ","3","MN",2
"STARTEQ","3","TC",2
"STARTEQ","3","VM",2
"STARTEQ","4","GO",0
"STARTEQ","4","MN",2.5
"STARTEQ","4","TC",1.33333333333333
"STARTEQ","4","VM",1.5
"STARTEQ","5","GO",2.33333333333333
"STARTEQ","5","MN",2.5
"STARTEQ","5","TC",2
"STARTEQ","5","VM",3
"Terra Rara","1","GO",2.5
"Terra Rara","1","MN",3
"Terra Rara","1","TC",2
"Terra Rara","1","VM",1.5
"Terra Rara","2","GO",2.5
"Terra Rara","2","MN",0.5
"Terra Rara","2","TC",3.33333333333333
"Terra Rara","2","VM",2
"Terra Rara","3","GO",4
"Terra Rara","3","MN",3.5
"Terra Rara","3","TC",3.33333333333333
"Terra Rara","3","VM",1
"Terra Rara","4","GO",2
"Terra Rara","4","MN",2
"Terra Rara","4","TC",2.66666666666667
"Terra Rara","4","VM",2.5
"Terra Rara","5","GO",0.666666666666667
"Terra Rara","5","MN",3
"Terra Rara","5","TC",2
"Terra Rara","5","VM",0.5
