,VM_5_1 (84.10%),MN_5_2 (-79.88%),TC_5_2 (79.13%),GO_3_1 (-72.25%),VM_3_1 (61.82%),GO_5_1 (55.15%),GO_2_1 (-52.46%),GO_1_2 (-50.43%),MN_5_1 (50.37%)
(93.2%) EJAUFS,4.94,2.47,3.70,0.00,2.47,4.94,1.23,0.00,4.94
(92.6%) Reina,4.08,0.00,4.08,0.00,3.06,4.08,0.00,1.02,3.06
(92.6%) STARTEQ,4.88,1.22,3.66,0.00,3.66,3.66,0.00,2.44,4.88
(78.7%) EdificarSe,3.81,0.95,2.86,0.95,3.81,1.90,0.95,1.90,2.86
(37.4%) ProdUP,2.73,3.64,2.73,2.73,0.00,1.82,0.91,2.73,3.64
(35.5%) Excelência,3.92,3.92,2.94,2.94,2.94,0.98,3.92,0.98,0.98
(34.8%) QuimTec,2.47,1.23,1.23,1.23,0.00,1.23,3.70,2.47,3.70
(31.1%) Easy Jr.,0.00,3.57,1.19,2.38,2.38,3.57,0.00,3.57,2.38
(24.6%) Agrosertão,1.27,5.06,2.53,1.27,2.53,3.80,5.06,5.06,0.00
(17.6%) Terra Rara,0.00,3.96,1.98,3.96,1.98,0.00,0.99,0.99,1.98
(17.3%) SERCIVIL,1.32,3.95,0.00,3.95,1.32,2.63,1.32,2.63,2.63
(14.8%) Empreeng,1.01,4.04,1.01,4.04,0.00,1.01,4.04,4.04,4.04
