,VM_2_2 (83.20%),GO_5_3 (81.37%),MN_3_1 (80.98%),VM_2_1 (62.24%),TC_3_1 (61.51%),MN_1_2 (-60.81%),TC_4_2 (-43.79%),VM_3_2 (-42.62%),MN_2_2 (41.57%)
(90.8%) Easy Jr.,4.76,3.57,4.76,2.38,4.76,3.57,1.19,0.00,3.57
(84.8%) ProdUP,2.73,3.64,3.64,3.64,1.82,0.00,0.91,0.91,3.64
(83.0%) STARTEQ,2.44,4.88,3.66,0.00,3.66,0.00,1.22,1.22,1.22
(80.2%) EdificarSe,2.86,2.86,3.81,1.90,2.86,0.00,1.90,3.81,0.95
(65.0%) Agrosertão,2.53,5.06,3.80,1.27,0.00,2.53,3.80,3.80,0.00
(60.8%) Excelência,1.96,2.94,1.96,0.00,3.92,0.00,3.92,0.98,3.92
(54.7%) SERCIVIL,2.63,2.63,2.63,2.63,0.00,1.32,3.95,1.32,0.00
(46.2%) Terra Rara,0.99,1.98,3.96,2.97,1.98,3.96,2.97,0.00,0.99
(20.1%) EJAUFS,2.47,1.23,2.47,0.00,1.23,4.94,3.70,0.00,3.70
(14.1%) Reina,1.02,0.00,1.02,1.02,1.02,2.04,2.04,3.06,2.04
(12.1%) Empreeng,1.01,0.00,2.02,0.00,1.01,3.03,4.04,3.03,2.02
(4.0%) QuimTec,0.00,0.00,0.00,0.00,1.23,3.70,2.47,4.94,1.23
