,GO_3_2 (83.50%),TC_3_3 (80.69%),TC_4_1 (61.72%),GO_1_1 (58.89%),TC_4_3 (55.95%),GO_3_1 (50.30%),TC_2_2 (49.19%),GO_5_1 (-47.92%),VM_5_2 (43.96%)
(93.6%) SERCIVIL,5.26,5.26,0.00,5.26,2.63,3.95,1.32,2.63,5.26
(88.6%) Terra Rara,3.96,3.96,3.96,3.96,0.99,3.96,3.96,0.00,0.99
(79.3%) ProdUP,3.64,3.64,2.73,1.82,3.64,2.73,0.91,1.82,3.64
(78.8%) Empreeng,4.04,3.03,3.03,2.02,2.02,4.04,0.00,1.01,3.03
(71.7%) Reina,4.08,2.04,4.08,2.04,4.08,0.00,4.08,4.08,1.02
(53.1%) Excelência,1.96,2.94,1.96,0.00,3.92,2.94,2.94,0.98,3.92
(40.1%) STARTEQ,3.66,0.00,3.66,3.66,0.00,0.00,2.44,3.66,2.44
(36.8%) QuimTec,0.00,0.00,2.47,3.70,4.94,1.23,1.23,1.23,0.00
(25.3%) EJAUFS,1.23,1.23,1.23,3.70,1.23,0.00,1.23,4.94,3.70
(21.1%) EdificarSe,1.90,0.95,0.95,0.95,1.90,0.95,1.90,1.90,2.86
(7.8%) Agrosertão,0.00,1.27,0.00,0.00,1.27,1.27,1.27,3.80,1.27
(6.4%) Easy Jr.,0.00,0.00,1.19,0.00,0.00,2.38,0.00,3.57,0.00
