"EJs","Cluster","Eixo","Media"
"Agrosertão","1","GO",2
"Agrosertão","2","GO",2.5
"Agrosertão","3","GO",0.5
"Agrosertão","4","GO",0
"Agrosertão","5","GO",3.33333333333333
"Easy Jr.","1","GO",1.5
"Easy Jr.","2","GO",1
"Easy Jr.","3","GO",1
"Easy Jr.","4","GO",2
"Easy Jr.","5","GO",2
"EdificarSe","1","GO",1.5
"EdificarSe","2","GO",2.5
"EdificarSe","3","GO",1.5
"EdificarSe","4","GO",3.5
"EdificarSe","5","GO",2.33333333333333
"EJAUFS","1","GO",1.5
"EJAUFS","2","GO",0.5
"EJAUFS","3","GO",0.5
"EJAUFS","4","GO",1.5
"EJAUFS","5","GO",2.33333333333333
"Empreeng","1","GO",3
"Empreeng","2","GO",4
"Empreeng","3","GO",4
"Empreeng","4","GO",3.5
"Empreeng","5","GO",1
"Excelência","1","GO",0.5
"Excelência","2","GO",3
"Excelência","3","GO",2.5
"Excelência","4","GO",1
"Excelência","5","GO",1.33333333333333
"ProdUP","1","GO",2.5
"ProdUP","2","GO",1.5
"ProdUP","3","GO",3.5
"ProdUP","4","GO",1.5
"ProdUP","5","GO",3
"QuimTec","1","GO",2.5
"QuimTec","2","GO",2.5
"QuimTec","3","GO",0.5
"QuimTec","4","GO",1
"QuimTec","5","GO",0.666666666666667
"Reina","1","GO",1.5
"Reina","2","GO",1
"Reina","3","GO",2
"Reina","4","GO",1.5
"Reina","5","GO",2
"SERCIVIL","1","GO",3
"SERCIVIL","2","GO",1.5
"SERCIVIL","3","GO",3.5
"SERCIVIL","4","GO",2
"SERCIVIL","5","GO",2.66666666666667
"STARTEQ","1","GO",2.5
"STARTEQ","2","GO",1
"STARTEQ","3","GO",1.5
"STARTEQ","4","GO",0
"STARTEQ","5","GO",2.33333333333333
"Terra Rara","1","GO",2.5
"Terra Rara","2","GO",2.5
"Terra Rara","3","GO",4
"Terra Rara","4","GO",2
"Terra Rara","5","GO",0.666666666666667
