"EJs","Eixo","Media"
"Agrosertão","GO",1.66666666666667
"Agrosertão","MN",1.8
"Agrosertão","TC",1.66666666666667
"Agrosertão","VM",1.9
"Easy Jr.","GO",1.5
"Easy Jr.","MN",2.6
"Easy Jr.","TC",1.73333333333333
"Easy Jr.","VM",1.7
"EdificarSe","GO",2.26666666666667
"EdificarSe","MN",2.1
"EdificarSe","TC",2.3
"EdificarSe","VM",2.8
"EJAUFS","GO",1.26666666666667
"EJAUFS","MN",2.4
"EJAUFS","TC",1.56666666666667
"EJAUFS","VM",2
"Empreeng","GO",3.1
"Empreeng","MN",2.3
"Empreeng","TC",2.23333333333333
"Empreeng","VM",1.3
"Excelência","GO",1.66666666666667
"Excelência","MN",2.2
"Excelência","TC",2.7
"Excelência","VM",2.4
"ProdUP","GO",2.4
"ProdUP","MN",2.6
"ProdUP","TC",2.1
"ProdUP","VM",2.9
"QuimTec","GO",1.43333333333333
"QuimTec","MN",2.4
"QuimTec","TC",1.63333333333333
"QuimTec","VM",1.9
"Reina","GO",1.6
"Reina","MN",2.3
"Reina","TC",2.66666666666667
"Reina","VM",2.1
"SERCIVIL","GO",2.53333333333333
"SERCIVIL","MN",1.6
"SERCIVIL","TC",1.06666666666667
"SERCIVIL","VM",1.6
"STARTEQ","GO",1.46666666666667
"STARTEQ","MN",1.8
"STARTEQ","TC",2
"STARTEQ","VM",1.9
"Terra Rara","GO",2.33333333333333
"Terra Rara","MN",2.4
"Terra Rara","TC",2.66666666666667
"Terra Rara","VM",1.5
