"EJs","Cluster","Media"
"Agrosertão","1",2.66666666666667
"Agrosertão","2",2.875
"Agrosertão","3",3.125
"Agrosertão","4",3.375
"Agrosertão","5",3.25
"Easy Jr.","1",0.833333333333333
"Easy Jr.","2",0.958333333333333
"Easy Jr.","3",1
"Easy Jr.","4",1.04166666666667
"Easy Jr.","5",1.625
"EdificarSe","1",2.04166666666667
"EdificarSe","2",2.04166666666667
"EdificarSe","3",2.625
"EdificarSe","4",2.83333333333333
"EdificarSe","5",3.66666666666667
"EJAUFS","1",0.583333333333333
"EJAUFS","2",1.29166666666667
"EJAUFS","3",2.29166666666667
"EJAUFS","4",1.83333333333333
"EJAUFS","5",2.375
"Empreeng","1",1.33333333333333
"Empreeng","2",1.41666666666667
"Empreeng","3",2.08333333333333
"Empreeng","4",2
"Empreeng","5",1.625
"Excelência","1",2.79166666666667
"Excelência","2",3.45833333333333
"Excelência","3",3.375
"Excelência","4",3.625
"Excelência","5",3.66666666666667
"ProdUP","1",0.666666666666667
"ProdUP","2",0.583333333333333
"ProdUP","3",1.25
"ProdUP","4",1.375
"ProdUP","5",2
"QuimTec","1",2.875
"QuimTec","2",2.75
"QuimTec","3",2.75
"QuimTec","4",2.83333333333333
"QuimTec","5",2.58333333333333
"Reina","1",1.33333333333333
"Reina","2",1
"Reina","3",1
"Reina","4",1.79166666666667
"Reina","5",2.04166666666667
"SERCIVIL","1",0.875
"SERCIVIL","2",0.583333333333333
"SERCIVIL","3",0.166666666666667
"SERCIVIL","4",0.625
"SERCIVIL","5",0.958333333333333
"STARTEQ","1",0.833333333333333
"STARTEQ","2",1.33333333333333
"STARTEQ","3",1.54166666666667
"STARTEQ","4",2.125
"STARTEQ","5",1.33333333333333
"Terra Rara","1",1.375
"Terra Rara","2",1.75
"Terra Rara","3",1.91666666666667
"Terra Rara","4",1.20833333333333
"Terra Rara","5",1.5
