"Cluster","Eixo","Dores","Media"
"5","VM","2",2.83333333333333
"5","VM","1",2.5
"2","TC","1",2.41666666666667
"3","TC","2",2.41666666666667
"1","TC","1",2.33333333333333
"4","VM","1",2.33333333333333
"4","GO","2",2.25
"5","MN","2",2.25
"1","VM","2",2.08333333333333
"3","TC","1",2.08333333333333
"4","VM","2",2.08333333333333
"5","MN","1",2.08333333333333
"2","VM","2",2
"3","MN","1",2
"3","TC","3",2
"4","MN","2",2
"4","TC","1",2
"4","TC","2",1.91666666666667
"5","GO","1",1.91666666666667
"5","GO","3",1.91666666666667
"5","TC","2",1.91666666666667
"3","VM","2",1.83333333333333
"3","VM","1",1.75
"2","GO","1",1.66666666666667
"4","GO","1",1.58333333333333
"3","GO","1",1.5
"4","TC","3",1.5
"5","TC","1",1.5
"1","TC","3",1.41666666666667
"2","GO","2",1.41666666666667
"3","MN","2",1.41666666666667
"1","GO","2",1.33333333333333
"1","MN","1",1.33333333333333
"1","VM","1",1.33333333333333
"2","MN","2",1.33333333333333
"2","MN","1",1.25
"2","VM","1",1.25
"3","GO","2",1.25
"4","MN","1",1.25
"2","TC","2",1.16666666666667
"5","GO","2",1.16666666666667
"1","TC","2",1.08333333333333
"2","TC","3",1.08333333333333
"1","GO","1",0.75
"1","MN","2",0.75
