"EJs","Cluster","Eixo","Media"
"Agrosertão","1","GO",2
"Agrosertão","2","GO",3
"Agrosertão","3","GO",3
"Agrosertão","4","GO",3.5
"Agrosertão","5","GO",3
"Easy Jr.","1","GO",0.5
"Easy Jr.","2","GO",0.5
"Easy Jr.","3","GO",0.5
"Easy Jr.","4","GO",0.5
"Easy Jr.","5","GO",1
"EdificarSe","1","GO",1.5
"EdificarSe","2","GO",2
"EdificarSe","3","GO",2
"EdificarSe","4","GO",3.5
"EdificarSe","5","GO",3.66666666666667
"EJAUFS","1","GO",0.5
"EJAUFS","2","GO",1.5
"EJAUFS","3","GO",2.5
"EJAUFS","4","GO",1.5
"EJAUFS","5","GO",2
"Empreeng","1","GO",1.5
"Empreeng","2","GO",2
"Empreeng","3","GO",1
"Empreeng","4","GO",2
"Empreeng","5","GO",2
"Excelência","1","GO",4
"Excelência","2","GO",4
"Excelência","3","GO",1.5
"Excelência","4","GO",3.5
"Excelência","5","GO",2.66666666666667
"ProdUP","1","GO",0.5
"ProdUP","2","GO",0.5
"ProdUP","3","GO",0
"ProdUP","4","GO",2.5
"ProdUP","5","GO",1
"QuimTec","1","GO",2
"QuimTec","2","GO",2
"QuimTec","3","GO",2.5
"QuimTec","4","GO",3
"QuimTec","5","GO",2.33333333333333
"Reina","1","GO",0
"Reina","2","GO",1.5
"Reina","3","GO",1
"Reina","4","GO",2.5
"Reina","5","GO",2.66666666666667
"SERCIVIL","1","GO",2
"SERCIVIL","2","GO",1
"SERCIVIL","3","GO",0
"SERCIVIL","4","GO",0.5
"SERCIVIL","5","GO",0.333333333333333
"STARTEQ","1","GO",0
"STARTEQ","2","GO",1.5
"STARTEQ","3","GO",1.5
"STARTEQ","4","GO",1.5
"STARTEQ","5","GO",0.333333333333333
"Terra Rara","1","GO",0
"Terra Rara","2","GO",1
"Terra Rara","3","GO",3
"Terra Rara","4","GO",0.5
"Terra Rara","5","GO",1
