"EJs","Cluster","Eixo","Media"
"Agrosertão","1","MN",1.5
"Agrosertão","2","MN",1.5
"Agrosertão","3","MN",2.5
"Agrosertão","4","MN",2.5
"Agrosertão","5","MN",2.5
"Easy Jr.","1","MN",0.5
"Easy Jr.","2","MN",1.5
"Easy Jr.","3","MN",0.5
"Easy Jr.","4","MN",1
"Easy Jr.","5","MN",2
"EdificarSe","1","MN",1.5
"EdificarSe","2","MN",1.5
"EdificarSe","3","MN",1.5
"EdificarSe","4","MN",1
"EdificarSe","5","MN",3.5
"EJAUFS","1","MN",0
"EJAUFS","2","MN",0
"EJAUFS","3","MN",1.5
"EJAUFS","4","MN",1.5
"EJAUFS","5","MN",2.5
"Empreeng","1","MN",0.5
"Empreeng","2","MN",0.5
"Empreeng","3","MN",1.5
"Empreeng","4","MN",1.5
"Empreeng","5","MN",1
"Excelência","1","MN",1
"Excelência","2","MN",2.5
"Excelência","3","MN",4
"Excelência","4","MN",3
"Excelência","5","MN",4
"ProdUP","1","MN",0
"ProdUP","2","MN",0.5
"ProdUP","3","MN",3
"ProdUP","4","MN",1
"ProdUP","5","MN",1.5
"QuimTec","1","MN",4
"QuimTec","2","MN",2.5
"QuimTec","3","MN",2.5
"QuimTec","4","MN",3
"QuimTec","5","MN",3
"Reina","1","MN",1
"Reina","2","MN",0.5
"Reina","3","MN",0.5
"Reina","4","MN",2
"Reina","5","MN",2.5
"SERCIVIL","1","MN",0
"SERCIVIL","2","MN",0
"SERCIVIL","3","MN",0
"SERCIVIL","4","MN",1
"SERCIVIL","5","MN",1
"STARTEQ","1","MN",1.5
"STARTEQ","2","MN",1.5
"STARTEQ","3","MN",2
"STARTEQ","4","MN",1.5
"STARTEQ","5","MN",1.5
"Terra Rara","1","MN",1
"Terra Rara","2","MN",3
"Terra Rara","3","MN",1
"Terra Rara","4","MN",0.5
"Terra Rara","5","MN",1
