"EJs","Cluster","Eixo","Media"
"Agrosertão","1","TC",1.66666666666667
"Agrosertão","2","TC",2
"Agrosertão","3","TC",2
"Agrosertão","4","TC",2
"Agrosertão","5","TC",2
"Easy Jr.","1","TC",1.33333333333333
"Easy Jr.","2","TC",1.33333333333333
"Easy Jr.","3","TC",2
"Easy Jr.","4","TC",1.66666666666667
"Easy Jr.","5","TC",0.5
"EdificarSe","1","TC",1.66666666666667
"EdificarSe","2","TC",0.666666666666667
"EdificarSe","3","TC",2
"EdificarSe","4","TC",1.33333333333333
"EdificarSe","5","TC",1.5
"EJAUFS","1","TC",0.333333333333333
"EJAUFS","2","TC",1.66666666666667
"EJAUFS","3","TC",2.66666666666667
"EJAUFS","4","TC",1.33333333333333
"EJAUFS","5","TC",1.5
"Empreeng","1","TC",1.33333333333333
"Empreeng","2","TC",0.666666666666667
"Empreeng","3","TC",3.33333333333333
"Empreeng","4","TC",2
"Empreeng","5","TC",2.5
"Excelência","1","TC",2.66666666666667
"Excelência","2","TC",3.33333333333333
"Excelência","3","TC",4
"Excelência","4","TC",4
"Excelência","5","TC",4
"ProdUP","1","TC",1.66666666666667
"ProdUP","2","TC",1.33333333333333
"ProdUP","3","TC",2
"ProdUP","4","TC",1
"ProdUP","5","TC",3
"QuimTec","1","TC",2
"QuimTec","2","TC",3
"QuimTec","3","TC",3
"QuimTec","4","TC",2.33333333333333
"QuimTec","5","TC",2
"Reina","1","TC",1.33333333333333
"Reina","2","TC",1
"Reina","3","TC",0
"Reina","4","TC",0.666666666666667
"Reina","5","TC",0.5
"SERCIVIL","1","TC",1
"SERCIVIL","2","TC",0.333333333333333
"SERCIVIL","3","TC",0.666666666666667
"SERCIVIL","4","TC",0
"SERCIVIL","5","TC",0.5
"STARTEQ","1","TC",1.33333333333333
"STARTEQ","2","TC",1.33333333333333
"STARTEQ","3","TC",1.66666666666667
"STARTEQ","4","TC",3
"STARTEQ","5","TC",1.5
"Terra Rara","1","TC",3
"Terra Rara","2","TC",2
"Terra Rara","3","TC",2.66666666666667
"Terra Rara","4","TC",2.33333333333333
"Terra Rara","5","TC",1
