"EJs","Cluster","Eixo","Media"
"Agrosertão","1","VM",3.5
"Agrosertão","2","VM",3
"Agrosertão","3","VM",3
"Agrosertão","4","VM",3.5
"Agrosertão","5","VM",3.5
"Easy Jr.","1","VM",1
"Easy Jr.","2","VM",0.5
"Easy Jr.","3","VM",1
"Easy Jr.","4","VM",1
"Easy Jr.","5","VM",3
"EdificarSe","1","VM",1.5
"EdificarSe","2","VM",2
"EdificarSe","3","VM",3
"EdificarSe","4","VM",3.5
"EdificarSe","5","VM",4
"EJAUFS","1","VM",1.5
"EJAUFS","2","VM",2
"EJAUFS","3","VM",2.5
"EJAUFS","4","VM",3
"EJAUFS","5","VM",3.5
"Empreeng","1","VM",2
"Empreeng","2","VM",2.5
"Empreeng","3","VM",2.5
"Empreeng","4","VM",2.5
"Empreeng","5","VM",1
"Excelência","1","VM",3.5
"Excelência","2","VM",4
"Excelência","3","VM",4
"Excelência","4","VM",4
"Excelência","5","VM",4
"ProdUP","1","VM",0.5
"ProdUP","2","VM",0
"ProdUP","3","VM",0
"ProdUP","4","VM",1
"ProdUP","5","VM",2.5
"QuimTec","1","VM",3.5
"QuimTec","2","VM",3.5
"QuimTec","3","VM",3
"QuimTec","4","VM",3
"QuimTec","5","VM",3
"Reina","1","VM",3
"Reina","2","VM",1
"Reina","3","VM",2.5
"Reina","4","VM",2
"Reina","5","VM",2.5
"SERCIVIL","1","VM",0.5
"SERCIVIL","2","VM",1
"SERCIVIL","3","VM",0
"SERCIVIL","4","VM",1
"SERCIVIL","5","VM",2
"STARTEQ","1","VM",0.5
"STARTEQ","2","VM",1
"STARTEQ","3","VM",1
"STARTEQ","4","VM",2.5
"STARTEQ","5","VM",2
"Terra Rara","1","VM",1.5
"Terra Rara","2","VM",1
"Terra Rara","3","VM",1
"Terra Rara","4","VM",1.5
"Terra Rara","5","VM",3
