"","VM_5_1 (90.19%)","GO_5_3 (53.72%)","MN_2_2 (51.93%)","GO_5_2 (-44.76%)","VM_4_1 (-44.52%)","TC_1_1 (43.91%)","TC_2_2 (43.09%)","TC_5_2 (-41.04%)","MN_1_2 (38.03%)"
"(93.9%) Easy Jr.","5.88","3.92","5.88","0.00","1.96","3.92","1.96","0.00","0.00"
"(90.2%) SERCIVIL","10.71","0.00","0.00","0.00","3.57","10.71","0.00","3.57","0.00"
"(70.7%) Terra Rara","4.11","2.74","4.11","0.00","1.37","5.48","2.74","2.74","1.37"
"(66.8%) ProdUP","5.56","1.85","1.85","1.85","0.00","5.56","3.70","5.56","0.00"
"(66.7%) EJAUFS","5.33","4.00","0.00","0.00","5.33","1.33","1.33","1.33","0.00"
"(65.4%) Reina","4.76","4.76","0.00","3.17","3.17","1.59","0.00","0.00","1.59"
"(41.5%) EdificarSe","2.52","2.52","2.52","2.52","1.68","2.52","0.84","2.52","0.84"
"(40.0%) Excelência","2.63","2.63","1.97","1.32","2.63","2.63","1.32","2.63","1.32"
"(34.4%) QuimTec","2.44","2.44","1.63","0.81","2.44","2.44","2.44","1.63","3.25"
"(33.7%) Agrosertão","2.19","2.19","2.19","2.19","2.92","2.19","2.19","2.19","1.46"
"(5.9%) Empreeng","0.00","1.30","0.00","3.90","5.19","2.60","1.30","3.90","0.00"
"(3.7%) STARTEQ","0.00","0.00","0.00","1.54","6.15","1.54","0.00","4.62","0.00"
