EJs,VM_5_1 (83.54%),GO_5_2 (-69.72%),MN_2_2 (53.08%),TC_1_1 (52.53%),VM_4_1 (-46.60%),TC_2_2 (46.01%),TC_5_2 (-41.07%),VM_3_1 (-39.79%),GO_5_3 (39.38%)
(98.4%) SERCIVIL,10.71,0.00,0.00,10.71,3.57,0.00,3.57,0.00,0.00
(87.3%) Easy Jr.,5.88,0.00,5.88,3.92,1.96,1.96,0.00,0.00,3.92
(78.4%) Terra Rara,4.11,0.00,4.11,5.48,1.37,2.74,2.74,1.37,2.74
(69.4%) ProdUP,5.56,1.85,1.85,5.56,0.00,3.70,5.56,0.00,1.85
(51.6%) EJAUFS,5.33,0.00,0.00,1.33,5.33,1.33,1.33,2.67,4.00
(38.9%) Excelência,2.63,1.32,1.97,2.63,2.63,1.32,2.63,2.63,2.63
(38.1%) QuimTec,2.44,0.81,1.63,2.44,2.44,2.44,1.63,2.44,2.44
(34.8%) EdificarSe,2.70,2.70,2.70,2.70,1.35,0.00,2.70,2.70,2.70
(29.8%) Reina,4.76,3.17,0.00,1.59,3.17,0.00,0.00,3.17,4.76
(29.8%) Agrosertão,2.17,2.17,2.17,2.17,3.26,2.17,2.17,2.17,2.17
(12.1%) STARTEQ,0.00,1.54,0.00,1.54,6.15,0.00,4.62,3.08,0.00
(7.9%) Empreeng,0.00,3.90,0.00,2.60,5.19,1.30,3.90,3.90,1.30
