"EJ","Dor","Resposta"
"(98.4%) SERCIVIL","VM_5_1 (83.54%)","10.71"
"(98.4%) SERCIVIL","GO_5_2 (-69.72%)","0.00"
"(98.4%) SERCIVIL","MN_2_2 (53.08%)","0.00"
"(98.4%) SERCIVIL","TC_1_1 (52.53%)","10.71"
"(98.4%) SERCIVIL","VM_4_1 (-46.60%)","3.57"
"(98.4%) SERCIVIL","TC_2_2 (46.01%)","0.00"
"(98.4%) SERCIVIL","TC_5_2 (-41.07%)","3.57"
"(98.4%) SERCIVIL","VM_3_1 (-39.79%)","0.00"
"(98.4%) SERCIVIL","GO_5_3 (39.38%)","0.00"
"(87.3%) Easy Jr.","VM_5_1 (83.54%)","5.88"
"(87.3%) Easy Jr.","GO_5_2 (-69.72%)","0.00"
"(87.3%) Easy Jr.","MN_2_2 (53.08%)","5.88"
"(87.3%) Easy Jr.","TC_1_1 (52.53%)","3.92"
"(87.3%) Easy Jr.","VM_4_1 (-46.60%)","1.96"
"(87.3%) Easy Jr.","TC_2_2 (46.01%)","1.96"
"(87.3%) Easy Jr.","TC_5_2 (-41.07%)","0.00"
"(87.3%) Easy Jr.","VM_3_1 (-39.79%)","0.00"
"(87.3%) Easy Jr.","GO_5_3 (39.38%)","3.92"
"(78.4%) Terra Rara","VM_5_1 (83.54%)","4.11"
"(78.4%) Terra Rara","GO_5_2 (-69.72%)","0.00"
"(78.4%) Terra Rara","MN_2_2 (53.08%)","4.11"
"(78.4%) Terra Rara","TC_1_1 (52.53%)","5.48"
"(78.4%) Terra Rara","VM_4_1 (-46.60%)","1.37"
"(78.4%) Terra Rara","TC_2_2 (46.01%)","2.74"
"(78.4%) Terra Rara","TC_5_2 (-41.07%)","2.74"
"(78.4%) Terra Rara","VM_3_1 (-39.79%)","1.37"
"(78.4%) Terra Rara","GO_5_3 (39.38%)","2.74"
"(69.4%) ProdUP","VM_5_1 (83.54%)","5.56"
"(69.4%) ProdUP","GO_5_2 (-69.72%)","1.85"
"(69.4%) ProdUP","MN_2_2 (53.08%)","1.85"
"(69.4%) ProdUP","TC_1_1 (52.53%)","5.56"
"(69.4%) ProdUP","VM_4_1 (-46.60%)","0.00"
"(69.4%) ProdUP","TC_2_2 (46.01%)","3.70"
"(69.4%) ProdUP","TC_5_2 (-41.07%)","5.56"
"(69.4%) ProdUP","VM_3_1 (-39.79%)","0.00"
"(69.4%) ProdUP","GO_5_3 (39.38%)","1.85"
"(51.6%) EJAUFS","VM_5_1 (83.54%)","5.33"
"(51.6%) EJAUFS","GO_5_2 (-69.72%)","0.00"
"(51.6%) EJAUFS","MN_2_2 (53.08%)","0.00"
"(51.6%) EJAUFS","TC_1_1 (52.53%)","1.33"
"(51.6%) EJAUFS","VM_4_1 (-46.60%)","5.33"
"(51.6%) EJAUFS","TC_2_2 (46.01%)","1.33"
"(51.6%) EJAUFS","TC_5_2 (-41.07%)","1.33"
"(51.6%) EJAUFS","VM_3_1 (-39.79%)","2.67"
"(51.6%) EJAUFS","GO_5_3 (39.38%)","4.00"
"(38.9%) Excelência","VM_5_1 (83.54%)","2.63"
"(38.9%) Excelência","GO_5_2 (-69.72%)","1.32"
"(38.9%) Excelência","MN_2_2 (53.08%)","1.97"
"(38.9%) Excelência","TC_1_1 (52.53%)","2.63"
"(38.9%) Excelência","VM_4_1 (-46.60%)","2.63"
"(38.9%) Excelência","TC_2_2 (46.01%)","1.32"
"(38.9%) Excelência","TC_5_2 (-41.07%)","2.63"
"(38.9%) Excelência","VM_3_1 (-39.79%)","2.63"
"(38.9%) Excelência","GO_5_3 (39.38%)","2.63"
"(38.1%) QuimTec","VM_5_1 (83.54%)","2.44"
"(38.1%) QuimTec","GO_5_2 (-69.72%)","0.81"
"(38.1%) QuimTec","MN_2_2 (53.08%)","1.63"
"(38.1%) QuimTec","TC_1_1 (52.53%)","2.44"
"(38.1%) QuimTec","VM_4_1 (-46.60%)","2.44"
"(38.1%) QuimTec","TC_2_2 (46.01%)","2.44"
"(38.1%) QuimTec","TC_5_2 (-41.07%)","1.63"
"(38.1%) QuimTec","VM_3_1 (-39.79%)","2.44"
"(38.1%) QuimTec","GO_5_3 (39.38%)","2.44"
"(34.8%) EdificarSe","VM_5_1 (83.54%)","2.70"
"(34.8%) EdificarSe","GO_5_2 (-69.72%)","2.70"
"(34.8%) EdificarSe","MN_2_2 (53.08%)","2.70"
"(34.8%) EdificarSe","TC_1_1 (52.53%)","2.70"
"(34.8%) EdificarSe","VM_4_1 (-46.60%)","1.35"
"(34.8%) EdificarSe","TC_2_2 (46.01%)","0.00"
"(34.8%) EdificarSe","TC_5_2 (-41.07%)","2.70"
"(34.8%) EdificarSe","VM_3_1 (-39.79%)","2.70"
"(34.8%) EdificarSe","GO_5_3 (39.38%)","2.70"
"(29.8%) Reina","VM_5_1 (83.54%)","4.76"
"(29.8%) Reina","GO_5_2 (-69.72%)","3.17"
"(29.8%) Reina","MN_2_2 (53.08%)","0.00"
"(29.8%) Reina","TC_1_1 (52.53%)","1.59"
"(29.8%) Reina","VM_4_1 (-46.60%)","3.17"
"(29.8%) Reina","TC_2_2 (46.01%)","0.00"
"(29.8%) Reina","TC_5_2 (-41.07%)","0.00"
"(29.8%) Reina","VM_3_1 (-39.79%)","3.17"
"(29.8%) Reina","GO_5_3 (39.38%)","4.76"
"(29.8%) Agrosertão","VM_5_1 (83.54%)","2.17"
"(29.8%) Agrosertão","GO_5_2 (-69.72%)","2.17"
"(29.8%) Agrosertão","MN_2_2 (53.08%)","2.17"
"(29.8%) Agrosertão","TC_1_1 (52.53%)","2.17"
"(29.8%) Agrosertão","VM_4_1 (-46.60%)","3.26"
"(29.8%) Agrosertão","TC_2_2 (46.01%)","2.17"
"(29.8%) Agrosertão","TC_5_2 (-41.07%)","2.17"
"(29.8%) Agrosertão","VM_3_1 (-39.79%)","2.17"
"(29.8%) Agrosertão","GO_5_3 (39.38%)","2.17"
"(12.1%) STARTEQ","VM_5_1 (83.54%)","0.00"
"(12.1%) STARTEQ","GO_5_2 (-69.72%)","1.54"
"(12.1%) STARTEQ","MN_2_2 (53.08%)","0.00"
"(12.1%) STARTEQ","TC_1_1 (52.53%)","1.54"
"(12.1%) STARTEQ","VM_4_1 (-46.60%)","6.15"
"(12.1%) STARTEQ","TC_2_2 (46.01%)","0.00"
"(12.1%) STARTEQ","TC_5_2 (-41.07%)","4.62"
"(12.1%) STARTEQ","VM_3_1 (-39.79%)","3.08"
"(12.1%) STARTEQ","GO_5_3 (39.38%)","0.00"
"(7.9%) Empreeng","VM_5_1 (83.54%)","0.00"
"(7.9%) Empreeng","GO_5_2 (-69.72%)","3.90"
"(7.9%) Empreeng","MN_2_2 (53.08%)","0.00"
"(7.9%) Empreeng","TC_1_1 (52.53%)","2.60"
"(7.9%) Empreeng","VM_4_1 (-46.60%)","5.19"
"(7.9%) Empreeng","TC_2_2 (46.01%)","1.30"
"(7.9%) Empreeng","TC_5_2 (-41.07%)","3.90"
"(7.9%) Empreeng","VM_3_1 (-39.79%)","3.90"
"(7.9%) Empreeng","GO_5_3 (39.38%)","1.30"
