EJs,GO_4_2 (84.54%),MN_5_2 (80.17%),GO_5_1 (79.40%),VM_1_1 (77.13%),VM_4_2 (75.88%),VM_3_2 (74.35%),GO_5_3 (73.06%),MN_5_1 (72.45%),TC_5_1 (57.99%)
(94.0%) Reina,4.76,4.76,4.76,3.17,3.17,4.76,4.76,3.17,1.59
(88.0%) EdificarSe,4.05,4.05,5.41,1.35,5.41,2.70,2.70,5.41,1.35
(74.1%) EJAUFS,4.00,4.00,4.00,1.33,2.67,4.00,4.00,2.67,2.67
(71.3%) Easy Jr.,1.96,3.92,1.96,3.92,1.96,3.92,3.92,3.92,1.96
(71.1%) ProdUP,3.70,3.70,1.85,1.85,3.70,0.00,1.85,1.85,5.56
(52.4%) Agrosertão,3.26,3.26,2.17,2.17,2.17,2.17,2.17,2.17,2.17
(49.5%) Excelência,2.63,2.63,1.32,1.97,2.63,2.63,2.63,2.63,2.63
(45.3%) QuimTec,2.44,1.63,2.44,2.44,2.44,2.44,2.44,3.25,1.63
(37.5%) SERCIVIL,3.57,7.14,3.57,0.00,3.57,0.00,0.00,0.00,0.00
(19.6%) Empreeng,2.60,1.30,2.60,1.30,1.30,2.60,1.30,1.30,2.60
(6.9%) STARTEQ,3.08,3.08,0.00,0.00,1.54,0.00,0.00,1.54,0.00
(3.9%) Terra Rara,0.00,0.00,1.37,0.00,2.74,1.37,2.74,2.74,0.00
