"EJ","Dor","Resposta"
"(94.0%) Reina","GO_4_2 (84.54%)","4.76"
"(94.0%) Reina","MN_5_2 (80.17%)","4.76"
"(94.0%) Reina","GO_5_1 (79.40%)","4.76"
"(94.0%) Reina","VM_1_1 (77.13%)","3.17"
"(94.0%) Reina","VM_4_2 (75.88%)","3.17"
"(94.0%) Reina","VM_3_2 (74.35%)","4.76"
"(94.0%) Reina","GO_5_3 (73.06%)","4.76"
"(94.0%) Reina","MN_5_1 (72.45%)","3.17"
"(94.0%) Reina","TC_5_1 (57.99%)","1.59"
"(88.0%) EdificarSe","GO_4_2 (84.54%)","4.05"
"(88.0%) EdificarSe","MN_5_2 (80.17%)","4.05"
"(88.0%) EdificarSe","GO_5_1 (79.40%)","5.41"
"(88.0%) EdificarSe","VM_1_1 (77.13%)","1.35"
"(88.0%) EdificarSe","VM_4_2 (75.88%)","5.41"
"(88.0%) EdificarSe","VM_3_2 (74.35%)","2.70"
"(88.0%) EdificarSe","GO_5_3 (73.06%)","2.70"
"(88.0%) EdificarSe","MN_5_1 (72.45%)","5.41"
"(88.0%) EdificarSe","TC_5_1 (57.99%)","1.35"
"(74.1%) EJAUFS","GO_4_2 (84.54%)","4.00"
"(74.1%) EJAUFS","MN_5_2 (80.17%)","4.00"
"(74.1%) EJAUFS","GO_5_1 (79.40%)","4.00"
"(74.1%) EJAUFS","VM_1_1 (77.13%)","1.33"
"(74.1%) EJAUFS","VM_4_2 (75.88%)","2.67"
"(74.1%) EJAUFS","VM_3_2 (74.35%)","4.00"
"(74.1%) EJAUFS","GO_5_3 (73.06%)","4.00"
"(74.1%) EJAUFS","MN_5_1 (72.45%)","2.67"
"(74.1%) EJAUFS","TC_5_1 (57.99%)","2.67"
"(71.3%) Easy Jr.","GO_4_2 (84.54%)","1.96"
"(71.3%) Easy Jr.","MN_5_2 (80.17%)","3.92"
"(71.3%) Easy Jr.","GO_5_1 (79.40%)","1.96"
"(71.3%) Easy Jr.","VM_1_1 (77.13%)","3.92"
"(71.3%) Easy Jr.","VM_4_2 (75.88%)","1.96"
"(71.3%) Easy Jr.","VM_3_2 (74.35%)","3.92"
"(71.3%) Easy Jr.","GO_5_3 (73.06%)","3.92"
"(71.3%) Easy Jr.","MN_5_1 (72.45%)","3.92"
"(71.3%) Easy Jr.","TC_5_1 (57.99%)","1.96"
"(71.1%) ProdUP","GO_4_2 (84.54%)","3.70"
"(71.1%) ProdUP","MN_5_2 (80.17%)","3.70"
"(71.1%) ProdUP","GO_5_1 (79.40%)","1.85"
"(71.1%) ProdUP","VM_1_1 (77.13%)","1.85"
"(71.1%) ProdUP","VM_4_2 (75.88%)","3.70"
"(71.1%) ProdUP","VM_3_2 (74.35%)","0.00"
"(71.1%) ProdUP","GO_5_3 (73.06%)","1.85"
"(71.1%) ProdUP","MN_5_1 (72.45%)","1.85"
"(71.1%) ProdUP","TC_5_1 (57.99%)","5.56"
"(52.4%) Agrosertão","GO_4_2 (84.54%)","3.26"
"(52.4%) Agrosertão","MN_5_2 (80.17%)","3.26"
"(52.4%) Agrosertão","GO_5_1 (79.40%)","2.17"
"(52.4%) Agrosertão","VM_1_1 (77.13%)","2.17"
"(52.4%) Agrosertão","VM_4_2 (75.88%)","2.17"
"(52.4%) Agrosertão","VM_3_2 (74.35%)","2.17"
"(52.4%) Agrosertão","GO_5_3 (73.06%)","2.17"
"(52.4%) Agrosertão","MN_5_1 (72.45%)","2.17"
"(52.4%) Agrosertão","TC_5_1 (57.99%)","2.17"
"(49.5%) Excelência","GO_4_2 (84.54%)","2.63"
"(49.5%) Excelência","MN_5_2 (80.17%)","2.63"
"(49.5%) Excelência","GO_5_1 (79.40%)","1.32"
"(49.5%) Excelência","VM_1_1 (77.13%)","1.97"
"(49.5%) Excelência","VM_4_2 (75.88%)","2.63"
"(49.5%) Excelência","VM_3_2 (74.35%)","2.63"
"(49.5%) Excelência","GO_5_3 (73.06%)","2.63"
"(49.5%) Excelência","MN_5_1 (72.45%)","2.63"
"(49.5%) Excelência","TC_5_1 (57.99%)","2.63"
"(45.3%) QuimTec","GO_4_2 (84.54%)","2.44"
"(45.3%) QuimTec","MN_5_2 (80.17%)","1.63"
"(45.3%) QuimTec","GO_5_1 (79.40%)","2.44"
"(45.3%) QuimTec","VM_1_1 (77.13%)","2.44"
"(45.3%) QuimTec","VM_4_2 (75.88%)","2.44"
"(45.3%) QuimTec","VM_3_2 (74.35%)","2.44"
"(45.3%) QuimTec","GO_5_3 (73.06%)","2.44"
"(45.3%) QuimTec","MN_5_1 (72.45%)","3.25"
"(45.3%) QuimTec","TC_5_1 (57.99%)","1.63"
"(37.5%) SERCIVIL","GO_4_2 (84.54%)","3.57"
"(37.5%) SERCIVIL","MN_5_2 (80.17%)","7.14"
"(37.5%) SERCIVIL","GO_5_1 (79.40%)","3.57"
"(37.5%) SERCIVIL","VM_1_1 (77.13%)","0.00"
"(37.5%) SERCIVIL","VM_4_2 (75.88%)","3.57"
"(37.5%) SERCIVIL","VM_3_2 (74.35%)","0.00"
"(37.5%) SERCIVIL","GO_5_3 (73.06%)","0.00"
"(37.5%) SERCIVIL","MN_5_1 (72.45%)","0.00"
"(37.5%) SERCIVIL","TC_5_1 (57.99%)","0.00"
"(19.6%) Empreeng","GO_4_2 (84.54%)","2.60"
"(19.6%) Empreeng","MN_5_2 (80.17%)","1.30"
"(19.6%) Empreeng","GO_5_1 (79.40%)","2.60"
"(19.6%) Empreeng","VM_1_1 (77.13%)","1.30"
"(19.6%) Empreeng","VM_4_2 (75.88%)","1.30"
"(19.6%) Empreeng","VM_3_2 (74.35%)","2.60"
"(19.6%) Empreeng","GO_5_3 (73.06%)","1.30"
"(19.6%) Empreeng","MN_5_1 (72.45%)","1.30"
"(19.6%) Empreeng","TC_5_1 (57.99%)","2.60"
"(6.9%) STARTEQ","GO_4_2 (84.54%)","3.08"
"(6.9%) STARTEQ","MN_5_2 (80.17%)","3.08"
"(6.9%) STARTEQ","GO_5_1 (79.40%)","0.00"
"(6.9%) STARTEQ","VM_1_1 (77.13%)","0.00"
"(6.9%) STARTEQ","VM_4_2 (75.88%)","1.54"
"(6.9%) STARTEQ","VM_3_2 (74.35%)","0.00"
"(6.9%) STARTEQ","GO_5_3 (73.06%)","0.00"
"(6.9%) STARTEQ","MN_5_1 (72.45%)","1.54"
"(6.9%) STARTEQ","TC_5_1 (57.99%)","0.00"
"(3.9%) Terra Rara","GO_4_2 (84.54%)","0.00"
"(3.9%) Terra Rara","MN_5_2 (80.17%)","0.00"
"(3.9%) Terra Rara","GO_5_1 (79.40%)","1.37"
"(3.9%) Terra Rara","VM_1_1 (77.13%)","0.00"
"(3.9%) Terra Rara","VM_4_2 (75.88%)","2.74"
"(3.9%) Terra Rara","VM_3_2 (74.35%)","1.37"
"(3.9%) Terra Rara","GO_5_3 (73.06%)","2.74"
"(3.9%) Terra Rara","MN_5_1 (72.45%)","2.74"
"(3.9%) Terra Rara","TC_5_1 (57.99%)","0.00"
