EJs,TC_1_2 (-87.05%),GO_1_2 (78.79%),GO_2_1 (78.17%),MN_1_1 (-61.71%),MN_2_1 (-48.08%),MN_4_2 (46.75%),TC_5_1 (46.06%),VM_5_2 (-42.26%),VM_2_2 (37.20%)
(99.7%) SERCIVIL,0.00,14.29,7.14,0.00,0.00,7.14,0.00,3.57,7.14
(70.0%) Empreeng,0.00,2.60,3.90,1.30,1.30,1.30,2.60,2.60,5.19
(69.1%) Excelência,0.00,2.63,2.63,0.00,1.32,2.63,2.63,2.63,2.63
(62.7%) EJAUFS,0.00,1.33,2.67,0.00,0.00,2.67,2.67,4.00,2.67
(50.1%) ProdUP,1.85,1.85,1.85,0.00,0.00,3.70,5.56,3.70,0.00
(43.0%) Agrosertão,1.09,1.09,2.17,2.17,1.09,3.26,2.17,3.26,2.17
(42.3%) Easy Jr.,1.96,1.96,1.96,1.96,0.00,3.92,1.96,5.88,0.00
(35.9%) QuimTec,0.81,0.81,1.63,3.25,2.44,2.44,1.63,2.44,3.25
(24.3%) EdificarSe,2.70,1.35,1.35,4.05,1.35,1.35,1.35,5.41,2.70
(22.9%) STARTEQ,1.54,0.00,1.54,4.62,4.62,3.08,0.00,6.15,1.54
(18.5%) Reina,4.76,0.00,1.59,1.59,1.59,3.17,1.59,3.17,3.17
(16.1%) Terra Rara,4.11,0.00,0.00,1.37,4.11,0.00,0.00,4.11,1.37
