"EJ","Dor","Resposta"
"(97.8%) ProdUP","TC_4_2 (85.32%)","5.56"
"(97.8%) ProdUP","TC_1_3 (85.17%)","1.85"
"(97.8%) ProdUP","TC_5_2 (84.11%)","5.56"
"(97.8%) ProdUP","MN_3_2 (82.04%)","7.41"
"(97.8%) ProdUP","TC_3_3 (75.93%)","3.70"
"(97.8%) ProdUP","TC_4_3 (67.64%)","0.00"
"(97.8%) ProdUP","MN_3_1 (66.65%)","3.70"
"(97.8%) ProdUP","TC_2_3 (66.63%)","1.85"
"(97.8%) ProdUP","TC_1_1 (66.06%)","5.56"
"(70.9%) Excelência","TC_4_2 (85.32%)","2.63"
"(70.9%) Excelência","TC_1_3 (85.17%)","2.63"
"(70.9%) Excelência","TC_5_2 (84.11%)","2.63"
"(70.9%) Excelência","MN_3_2 (82.04%)","2.63"
"(70.9%) Excelência","TC_3_3 (75.93%)","2.63"
"(70.9%) Excelência","TC_4_3 (67.64%)","2.63"
"(70.9%) Excelência","MN_3_1 (66.65%)","2.63"
"(70.9%) Excelência","TC_2_3 (66.63%)","2.63"
"(70.9%) Excelência","TC_1_1 (66.06%)","2.63"
"(70.1%) Terra Rara","TC_4_2 (85.32%)","4.11"
"(70.1%) Terra Rara","TC_1_3 (85.17%)","2.74"
"(70.1%) Terra Rara","TC_5_2 (84.11%)","2.74"
"(70.1%) Terra Rara","MN_3_2 (82.04%)","1.37"
"(70.1%) Terra Rara","TC_3_3 (75.93%)","2.74"
"(70.1%) Terra Rara","TC_4_3 (67.64%)","2.74"
"(70.1%) Terra Rara","MN_3_1 (66.65%)","1.37"
"(70.1%) Terra Rara","TC_2_3 (66.63%)","0.00"
"(70.1%) Terra Rara","TC_1_1 (66.06%)","5.48"
"(62.7%) Empreeng","TC_4_2 (85.32%)","2.60"
"(62.7%) Empreeng","TC_1_3 (85.17%)","2.60"
"(62.7%) Empreeng","TC_5_2 (84.11%)","3.90"
"(62.7%) Empreeng","MN_3_2 (82.04%)","1.30"
"(62.7%) Empreeng","TC_3_3 (75.93%)","3.90"
"(62.7%) Empreeng","TC_4_3 (67.64%)","1.30"
"(62.7%) Empreeng","MN_3_1 (66.65%)","2.60"
"(62.7%) Empreeng","TC_2_3 (66.63%)","0.00"
"(62.7%) Empreeng","TC_1_1 (66.06%)","2.60"
"(62.2%) STARTEQ","TC_4_2 (85.32%)","4.62"
"(62.2%) STARTEQ","TC_1_3 (85.17%)","3.08"
"(62.2%) STARTEQ","TC_5_2 (84.11%)","4.62"
"(62.2%) STARTEQ","MN_3_2 (82.04%)","1.54"
"(62.2%) STARTEQ","TC_3_3 (75.93%)","1.54"
"(62.2%) STARTEQ","TC_4_3 (67.64%)","4.62"
"(62.2%) STARTEQ","MN_3_1 (66.65%)","4.62"
"(62.2%) STARTEQ","TC_2_3 (66.63%)","1.54"
"(62.2%) STARTEQ","TC_1_1 (66.06%)","1.54"
"(60.2%) Easy Jr.","TC_4_2 (85.32%)","1.96"
"(60.2%) Easy Jr.","TC_1_3 (85.17%)","1.96"
"(60.2%) Easy Jr.","TC_5_2 (84.11%)","0.00"
"(60.2%) Easy Jr.","MN_3_2 (82.04%)","0.00"
"(60.2%) Easy Jr.","TC_3_3 (75.93%)","5.88"
"(60.2%) Easy Jr.","TC_4_3 (67.64%)","3.92"
"(60.2%) Easy Jr.","MN_3_1 (66.65%)","1.96"
"(60.2%) Easy Jr.","TC_2_3 (66.63%)","1.96"
"(60.2%) Easy Jr.","TC_1_1 (66.06%)","3.92"
"(55.8%) Agrosertão","TC_4_2 (85.32%)","2.17"
"(55.8%) Agrosertão","TC_1_3 (85.17%)","2.17"
"(55.8%) Agrosertão","TC_5_2 (84.11%)","2.17"
"(55.8%) Agrosertão","MN_3_2 (82.04%)","2.17"
"(55.8%) Agrosertão","TC_3_3 (75.93%)","2.17"
"(55.8%) Agrosertão","TC_4_3 (67.64%)","2.17"
"(55.8%) Agrosertão","MN_3_1 (66.65%)","3.26"
"(55.8%) Agrosertão","TC_2_3 (66.63%)","2.17"
"(55.8%) Agrosertão","TC_1_1 (66.06%)","2.17"
"(49.7%) QuimTec","TC_4_2 (85.32%)","1.63"
"(49.7%) QuimTec","TC_1_3 (85.17%)","1.63"
"(49.7%) QuimTec","TC_5_2 (84.11%)","1.63"
"(49.7%) QuimTec","MN_3_2 (82.04%)","1.63"
"(49.7%) QuimTec","TC_3_3 (75.93%)","2.44"
"(49.7%) QuimTec","TC_4_3 (67.64%)","2.44"
"(49.7%) QuimTec","MN_3_1 (66.65%)","2.44"
"(49.7%) QuimTec","TC_2_3 (66.63%)","1.63"
"(49.7%) QuimTec","TC_1_1 (66.06%)","2.44"
"(35.5%) EdificarSe","TC_4_2 (85.32%)","1.35"
"(35.5%) EdificarSe","TC_1_3 (85.17%)","1.35"
"(35.5%) EdificarSe","TC_5_2 (84.11%)","2.70"
"(35.5%) EdificarSe","MN_3_2 (82.04%)","1.35"
"(35.5%) EdificarSe","TC_3_3 (75.93%)","2.70"
"(35.5%) EdificarSe","TC_4_3 (67.64%)","1.35"
"(35.5%) EdificarSe","MN_3_1 (66.65%)","2.70"
"(35.5%) EdificarSe","TC_2_3 (66.63%)","1.35"
"(35.5%) EdificarSe","TC_1_1 (66.06%)","2.70"
"(26.4%) EJAUFS","TC_4_2 (85.32%)","2.67"
"(26.4%) EJAUFS","TC_1_3 (85.17%)","0.00"
"(26.4%) EJAUFS","TC_5_2 (84.11%)","1.33"
"(26.4%) EJAUFS","MN_3_2 (82.04%)","1.33"
"(26.4%) EJAUFS","TC_3_3 (75.93%)","1.33"
"(26.4%) EJAUFS","TC_4_3 (67.64%)","0.00"
"(26.4%) EJAUFS","MN_3_1 (66.65%)","2.67"
"(26.4%) EJAUFS","TC_2_3 (66.63%)","1.33"
"(26.4%) EJAUFS","TC_1_1 (66.06%)","1.33"
"(16.6%) SERCIVIL","TC_4_2 (85.32%)","0.00"
"(16.6%) SERCIVIL","TC_1_3 (85.17%)","0.00"
"(16.6%) SERCIVIL","TC_5_2 (84.11%)","3.57"
"(16.6%) SERCIVIL","MN_3_2 (82.04%)","0.00"
"(16.6%) SERCIVIL","TC_3_3 (75.93%)","3.57"
"(16.6%) SERCIVIL","TC_4_3 (67.64%)","0.00"
"(16.6%) SERCIVIL","MN_3_1 (66.65%)","0.00"
"(16.6%) SERCIVIL","TC_2_3 (66.63%)","0.00"
"(16.6%) SERCIVIL","TC_1_1 (66.06%)","10.71"
"(1.6%) Reina","TC_4_2 (85.32%)","0.00"
"(1.6%) Reina","TC_1_3 (85.17%)","0.00"
"(1.6%) Reina","TC_5_2 (84.11%)","0.00"
"(1.6%) Reina","MN_3_2 (82.04%)","0.00"
"(1.6%) Reina","TC_3_3 (75.93%)","0.00"
"(1.6%) Reina","TC_4_3 (67.64%)","0.00"
"(1.6%) Reina","MN_3_1 (66.65%)","1.59"
"(1.6%) Reina","TC_2_3 (66.63%)","0.00"
"(1.6%) Reina","TC_1_1 (66.06%)","1.59"
