EJs,GO_3_1 (79.88%),VM_1_2 (79.29%),TC_2_1 (78.92%),VM_4_1 (75.96%),MN_4_1 (74.08%),VM_3_1 (69.18%),GO_2_2 (68.43%),TC_4_1 (68.09%),VM_2_1 (68.01%)
(86.0%) STARTEQ,3.08,1.54,4.62,6.15,1.54,3.08,3.08,4.62,1.54
(81.1%) Terra Rara,4.11,4.11,5.48,1.37,1.37,1.37,2.74,2.74,1.37
(77.8%) Reina,3.17,6.35,4.76,3.17,3.17,3.17,3.17,3.17,0.00
(74.9%) EJAUFS,2.67,2.67,4.00,5.33,1.33,2.67,1.33,2.67,2.67
(74.6%) Empreeng,1.30,3.90,1.30,5.19,2.60,3.90,1.30,3.90,1.30
(70.8%) QuimTec,1.63,3.25,3.25,2.44,2.44,2.44,1.63,1.63,2.44
(55.6%) Agrosertão,2.17,3.26,2.17,3.26,2.17,2.17,2.17,2.17,2.17
(55.1%) Excelência,1.97,2.63,2.63,2.63,1.32,2.63,2.63,2.63,2.63
(24.1%) Easy Jr.,0.00,0.00,3.92,1.96,0.00,0.00,0.00,3.92,1.96
(19.7%) EdificarSe,1.35,0.00,1.35,1.35,1.35,2.70,1.35,2.70,0.00
(12.6%) SERCIVIL,0.00,3.57,3.57,3.57,0.00,0.00,0.00,0.00,0.00
(1.5%) ProdUP,0.00,0.00,1.85,0.00,0.00,0.00,0.00,0.00,0.00
