"EJ","Dor","Resposta"
"(86.0%) STARTEQ","GO_3_1 (79.88%)","3.08"
"(86.0%) STARTEQ","VM_1_2 (79.29%)","1.54"
"(86.0%) STARTEQ","TC_2_1 (78.92%)","4.62"
"(86.0%) STARTEQ","VM_4_1 (75.96%)","6.15"
"(86.0%) STARTEQ","MN_4_1 (74.08%)","1.54"
"(86.0%) STARTEQ","VM_3_1 (69.18%)","3.08"
"(86.0%) STARTEQ","GO_2_2 (68.43%)","3.08"
"(86.0%) STARTEQ","TC_4_1 (68.09%)","4.62"
"(86.0%) STARTEQ","VM_2_1 (68.01%)","1.54"
"(81.1%) Terra Rara","GO_3_1 (79.88%)","4.11"
"(81.1%) Terra Rara","VM_1_2 (79.29%)","4.11"
"(81.1%) Terra Rara","TC_2_1 (78.92%)","5.48"
"(81.1%) Terra Rara","VM_4_1 (75.96%)","1.37"
"(81.1%) Terra Rara","MN_4_1 (74.08%)","1.37"
"(81.1%) Terra Rara","VM_3_1 (69.18%)","1.37"
"(81.1%) Terra Rara","GO_2_2 (68.43%)","2.74"
"(81.1%) Terra Rara","TC_4_1 (68.09%)","2.74"
"(81.1%) Terra Rara","VM_2_1 (68.01%)","1.37"
"(77.8%) Reina","GO_3_1 (79.88%)","3.17"
"(77.8%) Reina","VM_1_2 (79.29%)","6.35"
"(77.8%) Reina","TC_2_1 (78.92%)","4.76"
"(77.8%) Reina","VM_4_1 (75.96%)","3.17"
"(77.8%) Reina","MN_4_1 (74.08%)","3.17"
"(77.8%) Reina","VM_3_1 (69.18%)","3.17"
"(77.8%) Reina","GO_2_2 (68.43%)","3.17"
"(77.8%) Reina","TC_4_1 (68.09%)","3.17"
"(77.8%) Reina","VM_2_1 (68.01%)","0.00"
"(74.9%) EJAUFS","GO_3_1 (79.88%)","2.67"
"(74.9%) EJAUFS","VM_1_2 (79.29%)","2.67"
"(74.9%) EJAUFS","TC_2_1 (78.92%)","4.00"
"(74.9%) EJAUFS","VM_4_1 (75.96%)","5.33"
"(74.9%) EJAUFS","MN_4_1 (74.08%)","1.33"
"(74.9%) EJAUFS","VM_3_1 (69.18%)","2.67"
"(74.9%) EJAUFS","GO_2_2 (68.43%)","1.33"
"(74.9%) EJAUFS","TC_4_1 (68.09%)","2.67"
"(74.9%) EJAUFS","VM_2_1 (68.01%)","2.67"
"(74.6%) Empreeng","GO_3_1 (79.88%)","1.30"
"(74.6%) Empreeng","VM_1_2 (79.29%)","3.90"
"(74.6%) Empreeng","TC_2_1 (78.92%)","1.30"
"(74.6%) Empreeng","VM_4_1 (75.96%)","5.19"
"(74.6%) Empreeng","MN_4_1 (74.08%)","2.60"
"(74.6%) Empreeng","VM_3_1 (69.18%)","3.90"
