,TC_1_2 (91.99%),MN_1_1 (63.72%),GO_1_2 (-62.99%),GO_2_1 (-59.97%),MN_2_1 (51.62%),VM_5_2 (44.35%),GO_3_2 (36.72%),MN_5_1 (35.39%),MN_2_2 (34.03%)
(88.3%) Terra Rara,4.11,1.37,0.00,0.00,4.11,4.11,4.11,2.74,4.11
(84.4%) STARTEQ,1.54,4.62,0.00,1.54,4.62,6.15,1.54,1.54,0.00
(81.8%) Reina,4.76,1.59,0.00,1.59,1.59,3.17,0.00,3.17,0.00
(70.5%) EdificarSe,2.52,3.36,1.68,1.68,1.68,4.20,1.68,4.20,2.52
(66.1%) QuimTec,0.81,3.25,0.81,1.63,2.44,2.44,2.44,3.25,1.63
(56.6%) Agrosertão,1.46,2.19,1.46,2.19,1.46,2.92,2.19,2.19,2.19
(52.1%) Easy Jr.,1.96,1.96,1.96,1.96,0.00,5.88,1.96,3.92,5.88
(43.2%) ProdUP,1.85,0.00,1.85,1.85,0.00,3.70,0.00,1.85,1.85
(30.2%) EJAUFS,0.00,0.00,1.33,2.67,0.00,4.00,4.00,2.67,0.00
(30.0%) Empreeng,0.00,1.30,2.60,3.90,1.30,2.60,1.30,1.30,0.00
(29.5%) Excelência,0.00,0.00,2.63,2.63,1.32,2.63,0.00,2.63,1.97
(0.6%) SERCIVIL,0.00,0.00,14.29,7.14,0.00,3.57,0.00,0.00,0.00
