"EJ","Dor","Resposta"
"(99.7%) SERCIVIL","TC_1_2 (-87.05%)","0.00"
"(99.7%) SERCIVIL","GO_1_2 (78.79%)","14.29"
"(99.7%) SERCIVIL","GO_2_1 (78.17%)","7.14"
"(99.7%) SERCIVIL","MN_1_1 (-61.71%)","0.00"
"(99.7%) SERCIVIL","MN_2_1 (-48.08%)","0.00"
"(99.7%) SERCIVIL","MN_4_2 (46.75%)","7.14"
"(99.7%) SERCIVIL","TC_5_1 (46.06%)","0.00"
"(99.7%) SERCIVIL","VM_5_2 (-42.26%)","3.57"
"(99.7%) SERCIVIL","VM_2_2 (37.20%)","7.14"
"(70.0%) Empreeng","TC_1_2 (-87.05%)","0.00"
"(70.0%) Empreeng","GO_1_2 (78.79%)","2.60"
"(70.0%) Empreeng","GO_2_1 (78.17%)","3.90"
"(70.0%) Empreeng","MN_1_1 (-61.71%)","1.30"
"(70.0%) Empreeng","MN_2_1 (-48.08%)","1.30"
"(70.0%) Empreeng","MN_4_2 (46.75%)","1.30"
"(70.0%) Empreeng","TC_5_1 (46.06%)","2.60"
"(70.0%) Empreeng","VM_5_2 (-42.26%)","2.60"
"(70.0%) Empreeng","VM_2_2 (37.20%)","5.19"
"(69.1%) Excelência","TC_1_2 (-87.05%)","0.00"
"(69.1%) Excelência","GO_1_2 (78.79%)","2.63"
"(69.1%) Excelência","GO_2_1 (78.17%)","2.63"
"(69.1%) Excelência","MN_1_1 (-61.71%)","0.00"
"(69.1%) Excelência","MN_2_1 (-48.08%)","1.32"
"(69.1%) Excelência","MN_4_2 (46.75%)","2.63"
"(69.1%) Excelência","TC_5_1 (46.06%)","2.63"
"(69.1%) Excelência","VM_5_2 (-42.26%)","2.63"
"(69.1%) Excelência","VM_2_2 (37.20%)","2.63"
"(62.7%) EJAUFS","TC_1_2 (-87.05%)","0.00"
"(62.7%) EJAUFS","GO_1_2 (78.79%)","1.33"
"(62.7%) EJAUFS","GO_2_1 (78.17%)","2.67"
"(62.7%) EJAUFS","MN_1_1 (-61.71%)","0.00"
"(62.7%) EJAUFS","MN_2_1 (-48.08%)","0.00"
"(62.7%) EJAUFS","MN_4_2 (46.75%)","2.67"
"(62.7%) EJAUFS","TC_5_1 (46.06%)","2.67"
"(62.7%) EJAUFS","VM_5_2 (-42.26%)","4.00"
"(62.7%) EJAUFS","VM_2_2 (37.20%)","2.67"
"(50.1%) ProdUP","TC_1_2 (-87.05%)","1.85"
"(50.1%) ProdUP","GO_1_2 (78.79%)","1.85"
"(50.1%) ProdUP","GO_2_1 (78.17%)","1.85"
"(50.1%) ProdUP","MN_1_1 (-61.71%)","0.00"
"(50.1%) ProdUP","MN_2_1 (-48.08%)","0.00"
"(50.1%) ProdUP","MN_4_2 (46.75%)","3.70"
"(50.1%) ProdUP","TC_5_1 (46.06%)","5.56"
"(50.1%) ProdUP","VM_5_2 (-42.26%)","3.70"
"(50.1%) ProdUP","VM_2_2 (37.20%)","0.00"
"(43.0%) Agrosertão","TC_1_2 (-87.05%)","1.09"
"(43.0%) Agrosertão","GO_1_2 (78.79%)","1.09"
